DATE,ACOGNO
1992-02-01,86445
1992-03-01,90386
1992-04-01,90535
1992-05-01,92615
1992-06-01,93632
1992-07-01,93275
1992-08-01,90941
1992-09-01,93406
1992-10-01,91483
1992-11-01,93794
1992-12-01,93373
1993-01-01,95293
1993-02-01,94405
1993-03-01,95172
1993-04-01,93573
1993-05-01,94469
1993-06-01,95110
1993-07-01,93385
1993-08-01,91616
1993-09-01,93600
1993-10-01,94499
1993-11-01,93428
1993-12-01,93682
1994-01-01,96560
1994-02-01,97115
1994-03-01,97371
1994-04-01,97351
1994-05-01,98381
1994-06-01,99162
1994-07-01,99408
1994-08-01,100797
1994-09-01,100311
1994-10-01,100535
1994-11-01,101929
1994-12-01,104732
1995-01-01,103833
1995-02-01,104676
1995-03-01,103783
1995-04-01,105380
1995-05-01,103973
1995-06-01,104477
1995-07-01,104534
1995-08-01,104451
1995-09-01,105832
1995-10-01,105168
1995-11-01,103926
1995-12-01,106961
1996-01-01,103775
1996-02-01,101651
1996-03-01,106300
1996-04-01,107977
1996-05-01,107898
1996-06-01,106932
1996-07-01,108503
1996-08-01,107775
1996-09-01,109377
1996-10-01,109918
1996-11-01,110865
1996-12-01,109568
1997-01-01,111828
1997-02-01,112582
1997-03-01,112010
1997-04-01,112112
1997-05-01,112586
1997-06-01,112826
1997-07-01,115290
1997-08-01,114324
1997-09-01,113331
1997-10-01,114683
1997-11-01,115973
1997-12-01,114476
1998-01-01,112751
1998-02-01,114508
1998-03-01,113594
1998-04-01,112401
1998-05-01,114093
1998-06-01,110209
1998-07-01,109076
1998-08-01,112993
1998-09-01,112746
1998-10-01,113795
1998-11-01,112727
1998-12-01,113627
1999-01-01,114899
1999-02-01,117580
1999-03-01,117056
1999-04-01,116417
1999-05-01,117624
1999-06-01,118268
1999-07-01,118039
1999-08-01,119453
1999-09-01,120616
1999-10-01,122864
1999-11-01,121288
1999-12-01,121308
2000-01-01,124292
2000-02-01,122716
2000-03-01,124989
2000-04-01,125393
2000-05-01,124266
2000-06-01,126141
2000-07-01,124970
2000-08-01,121739
2000-09-01,126958
2000-10-01,126050
2000-11-01,126063
2000-12-01,125546
2001-01-01,123752
2001-02-01,125177
2001-03-01,122787
2001-04-01,122438
2001-05-01,125831
2001-06-01,122050
2001-07-01,122140
2001-08-01,125821
2001-09-01,121145
2001-10-01,121457
2001-11-01,122121
2001-12-01,123183
2002-01-01,121997.0
2002-02-01,120513.0
2002-03-01,120737.0
2002-04-01,123285.0
2002-05-01,124424.0
2002-06-01,124490.0
2002-07-01,123173.0
2002-08-01,125665.0
2002-09-01,127454.0
2002-10-01,127921.0
2002-11-01,127259.0
2002-12-01,127885.0
2003-01-01,130435.0
2003-02-01,131374.0
2003-03-01,132409.0
2003-04-01,127448.0
2003-05-01,128937.0
2003-06-01,131070.0
2003-07-01,134069.0
2003-08-01,132024.0
2003-09-01,134769.0
2003-10-01,134986.0
2003-11-01,133946.0
2003-12-01,134228.0
2004-01-01,135221.0
2004-02-01,135911.0
2004-03-01,138786.0
2004-04-01,138575.0
2004-05-01,139698.0
2004-06-01,140595.0
2004-07-01,137739.0
2004-08-01,142413.0
2004-09-01,142384.0
2004-10-01,146824.0
2004-11-01,149822.0
2004-12-01,147719.0
2005-01-01,149256.0
2005-02-01,151286.0
2005-03-01,152261.0
2005-04-01,155253.0
2005-05-01,154722.0
2005-06-01,155614.0
2005-07-01,156154.0
2005-08-01,161824.0
